category,alpha_index,earmarked_usd_exp,supply_pct,recent_winlift,momentum,label
"DeFi lending, perps & collateral",100.0,11417,13.2,1.37,0.43,CROWDED — $ present but saturated
On-chain trading tools & dev infrastructure,30.5,4051,11.6,1.12,0.32,Thin — weak/▾ specialist $
Cross-chain atomic swaps (1inch Fusion+),22.0,11914,1.5,1.14,-0.12,TRAP — re-saturates under its bounty (§8)
AI agents & autonomous assistants,17.8,10282,14.5,0.85,-0.52,COOLING — edge decaying
Creator & social-token platforms,0.0,0,5.4,1.42,0.54,No specialist $ (no sponsor edge)
"Crowdfunding, donations & creator monetization",0.0,0,5.6,1.3,0.47,No specialist $ (no sponsor edge)
"Crypto payments, wallets & off-ramps",0.0,0,15.4,0.85,-0.19,No specialist $ (no sponsor edge)
DAO tooling & governance,0.0,0,0.7,1.01,-0.23,No specialist $ (no sponsor edge)
DeFi portfolio & yield automation,0.0,0,4.8,0.55,-0.34,No specialist $ (no sponsor edge)
Decentralized storage & content sharing,0.0,0,4.5,0.67,0.4,No specialist $ (no sponsor edge)
"NFTs, collectibles & creator marketplaces",0.0,0,1.7,0.2,-0.31,No specialist $ (no sponsor edge)
On-chain gaming & play-to-earn,0.0,0,7.5,0.88,-0.14,No specialist $ (no sponsor edge)
Web3 social networks & web2 bridges,0.0,0,3.0,0.44,-0.37,No specialist $ (no sponsor edge)
"ZK identity, privacy & verifiable reputation",0.0,0,10.7,1.15,0.23,No specialist $ (no sponsor edge)
